DamageId,Id,TimePeriod,projectworkflowstageid,x,y
133810,84418,14,-1,-7351116.157922766,2065145.9704249725
136472,84419,14,3,,
131378,84420,14,6,-7354758.531661522,2054248.7362564583
141708,84422,14,2,-7353342.54773863,2065952.3625460991
133991,84424,14,3,-7340732.053182591,2080834.1618775036
141756,84425,14,2,-7348320.034953026,2087752.1970845256
133894,84428,14,7,-7353083.173325085,2065532.7533614798
139076,84429,14,7,-7353127.701121404,2065430.7826020655
133915,84432,14,7,-7350275.69576728,2057879.3304679657
141694,84433,14,3,-7352025.63816255,2068240.4395574944
205882,84434,14,1,-7338796.429876679,2071825.4545410064
131518,84435,14,1,-7343114.7355635315,2086173.1433152147
134667,84436,14,3,-7337116.6187606035,2073187.8791284664
139185,84437,14,3,-7339801.644878541,2068671.8271482764
133897,84439,14,7,-7353364.81163679,2065952.3625460991
141698,84441,14,3,-7352142.523627884,2068224.0282536056
138940,84447,14,2,-7364284.697086156,2084084.2371714395
138925,84448,14,2,-7363057.733658636,2074579.7101545855
133762,84449,14,2,-7368596.546242546,2079925.0178520924
138974,84450,14,2,-7367661.796478355,2080501.8638872574
131522,84451,14,2,-7343247.428396557,2085659.9598343277
136653,84452,14,2,-7344366.300598518,2087208.1147490896
131503,84453,14,-1,-7342139.799463164,2082192.6171536292
141695,84454,14,3,-7352016.732603282,2068207.6169629432
141615,84455,14,3,-7349087.916800515,2060043.4664675698
175267,84456,14,3,-7350122.074869987,2059847.7825921166
139060,84457,14,3,-7349971.125640466,2066000.1844765546
136638,84461,14,2,-7341593.888680312,2084197.3293959145
141784,84462,14,3,-7344990.580302887,2081615.488320813
431682,84463,14,-1,-7344966.86925135,2081699.827868937
139188,84467,14,3,-7342885.417412494,2075850.6161532153
134655,84468,14,3,-7340705.670463269,2075745.192891486
141460,84469,14,2,-7340340.431213981,2075905.966516657
131506,84471,14,2,-7343538.751503961,2086669.2096129237
131525,84473,14,1,-7342146.144674136,2082119.3021104562
131317,84474,14,2,-7310215.150615504,2069221.6251313055
138961,84475,14,6,-7368983.381473051,2075571.7558143013
136340,84476,14,2,-7368413.648319174,2080959.3175296453
139169,84480,14,3,-7340626.522305319,2076056.0699573888
178702,84484,14,1,-7469148.102691382,2045413.8138776068
178797,84485,14,1,-7478964.3667090265,2046327.8616173416
178799,84486,14,1,-7474674.892770292,2047755.1032666077
133053,84497,14,7,-7364108.03305427,2089699.843486629
139049,84500,14,7,-7353254.605340905,2064130.993133154
135556,84506,14,-1,-7363065.080745029,2088462.6825209467
135579,84507,14,1,-7362856.356699786,2087569.387538049
178760,84511,14,6,-7470474.69706317,2047873.498046581
178796,84512,14,6,-7478312.1458124705,2051050.8552848382
178882,84513,14,6,-7474858.79256908,2048009.2254439292
139051,84514,14,7,-7353234.567832562,2064121.6171350423
131445,84520,14,7,-7350055.2831755085,2066806.8448381147
178791,84524,14,-1,-7400398.632330842,2063908.6659388603
178820,84525,14,5,-7474764.282321394,2046796.259502223
178736,84526,14,6,-7477260.399263452,2051055.1889129712
209247,84527,14,-1,-7360785.25757358,2089195.1364812779
133044,84528,14,7,-7361225.74879865,2088852.4920988805
135554,84529,14,7,-7361995.857035956,2087703.1504582646
141591,84530,14,3,-7351629.340775325,2057688.353830319
131335,84534,14,3,-7418030.303838608,2061169.5640048317
141448,84535,14,3,-7355227.18671776,2055042.9835436896
139248,84536,14,7,-7362017.675656155,2087725.7963737526
331602,84537,14,-1,-7362441.2463186225,2091249.2473815149
300792,84541,14,7,-7350262.33742838,2065889.0689872012
175342,84542,14,3,-7350191.092954275,2056414.8312922977
172883,84548,14,1,-7357628.348134171,2056015.3341156836
133041,84552,14,-1,-7360785.25757358,2089195.1364812779
139254,84553,14,-1,-7362441.2463186225,2091249.2473815149
139035,84560,14,3,-7352016.732603282,2068222.8560181153
349696,84562,14,-1,-7368726.901366265,2053151.1325064742
174792,84563,14,2,-7368071.34088498,2049567.168515745
174010,84566,14,-1,-7368726.901366265,2053151.1325064742
174017,84574,14,2,-7363101.927496477,2046306.7839634723
174758,84580,14,3,-7350230.054776057,2057052.1684481483
136468,84591,14,3,-7352329.540372413,2063025.8270459645
354213,84592,14,3,-7353391.08303662,2056281.1570286695
141596,84595,14,3,-7356853.564478251,2057919.1663104387
131357,84596,14,3,-7350747.690408241,2056810.8215278285
133898,84603,14,3,-7349493.1197470045,2068317.8073112078
221613,84608,14,2,-7370331.126548086,2048685.1823179866
141455,84613,14,3,-7354397.856511357,2072140.9614343913
141628,84614,14,3,-7354334.293082109,2071751.2390269442
131384,84616,14,3,-7350713.181366093,2055451.8337595966
141623,84617,14,3,-7351058.271787555,2055266.7372349366
136469,84633,14,-1,-7353233.454637656,2065647.6175866197
133817,84634,14,-1,-7353459.433203965,2065503.4513668772
141597,84635,14,3,-7356882.173587389,2057878.5103190842
131324,84636,14,6,-7353585.224228561,2056318.763810353
176016,84642,14,-1,-7307543.816794937,2068566.2066781344
139037,84647,14,3,-7352016.732603282,2068071.6382065224
139075,84654,14,7,-7353119.908757049,2065516.3442393134
133793,84655,14,3,-7351188.292952803,2064992.3141501178
131606,84657,14,2,-7310324.243716478,2070174.7216582675
206610,84658,14,3,-7310796.238357445,2067585.169920638
208105,84666,14,-1,-7307659.25510689,2068330.7019654198
208127,84667,14,6,-7311214.799642829,2064141.541136179
208128,84675,14,6,-7308487.472118389,2067191.3149559868
176068,84682,14,-1,-7307543.816794937,2068566.2066781344
131366,84688,14,3,-7351147.3273801925,2060498.1164807817
131391,84689,14,3,-7351307.627446935,2059660.3027927869
175069,84690,14,3,-7350956.971050936,2059643.8983921935
208119,84694,14,-1,-7312929.119801044,2068165.4165620117
175368,84695,14,3,-7355395.279148865,2064672.4643379073
136442,84696,14,3,-7351954.393688443,2063152.3965839993
131328,84697,14,3,-7354164.085580686,2055660.3622288126
326098,84698,14,6,-7307072.7127099,2069099.9414830445
335578,84699,14,2,-7307587.342715834,2068162.2515354713
305999,84700,14,1,,
136434,84701,14,3,-7351012.630796332,2065453.052034716
136436,84702,14,3,-7350992.593287988,2064632.61531748
136441,84703,14,3,-7351214.119074664,2064162.6371585967
354209,84704,14,3,-7353618.620075803,2056376.1699343596
171473,84708,14,7,-7404120.933463987,2057318.1219928784
208070,84716,14,-1,-7307484.483506342,2068303.740425024
208080,84717,14,-1,-7307900.8184019085,2068484.266202649
306002,84718,14,-1,-7307484.483506342,2068303.740425024
169855,84719,14,2,-7402387.800311822,2067160.8384012773
171351,84721,14,6,-7402677.008348906,2073451.4637295722
141437,84724,14,3,-7349828.748011741,2054963.6745761912
170155,84726,14,2,-7399349.557449603,2077036.460380006
171329,84728,14,6,-7401974.359723016,2073351.3293188724
172877,84732,14,1,-7438961.15109501,2080944.77269059
173452,84733,14,1,-7444919.8607981885,2092924.2350508624
171702,84741,14,2,-7442335.467499934,2094271.1802098746
171277,84742,14,2,-7440353.535285849,2093948.9896724566
171954,84743,14,2,-7447196.789662879,2092778.935618122
172976,84744,14,1,-7441116.63039524,2094277.2836869794
141697,84745,14,3,-7352087.977077394,2068233.4061399195
141699,84746,14,3,-7352112.46736537,2068163.072097858
141700,84747,14,7,-7358182.719198327,2058526.0866854289
141701,84759,14,7,-7358200.530316853,2058483.9063084826
174911,84761,14,3,-7349385.13984093,2060616.467757613
172044,84763,14,-1,-7399502.621749443,2077267.4922975746
172048,84769,14,7,-7407922.494074577,2072282.9469971305
133904,84773,14,7,-7351684.109964796,2064079.4251969028
139058,84774,14,7,-7351966.193554463,2064225.3393540615
133892,84775,14,2,-7353626.412440158,2055812.6596440857
175081,84777,14,3,-7353625.299245246,2058420.63590624
175528,84778,14,3,-7351170.704473257,2060994.9620883905
169871,84780,14,6,-7399215.083504723,2079027.5259522814
170199,84781,14,6,-7399344.99335048,2077454.1961566997
172176,84786,14,1,-7442347.2673659595,2093187.0207758765
172261,84787,14,1,-7440639.403738212,2091990.1352680407
172317,84789,14,2,-7404852.41383799,2074118.2964568092
222177,84791,14,6,-7399329.965219223,2077030.948483165
169834,84793,14,2,-7399507.74244602,2074940.640303018
170127,84794,14,2,-7399229.555038527,2077137.5511793434
169632,84799,14,7,-7402527.61759226,2074757.2428952074
171106,84800,14,7,-7398953.260062381,2072574.1905134944
171110,84801,14,7,-7398953.260062381,2072501.8482358179
172314,84805,14,6,-7401205.698639092,2069586.680443075
169737,84806,14,2,-7401844.895155228,2072030.984859605
170283,84807,14,6,-7401413.643447895,2072817.3656336144
131215,84813,14,6,,
170375,84815,14,6,-7407457.957839494,2067688.5581113151
170248,84816,14,6,-7405329.974453489,2070886.3492977605
139050,84818,14,7,-7353295.793552501,2064071.221219072
131396,84821,14,2,-7351754.018605016,2062479.7119308568
131678,84824,14,-1,-7364869.903649259,2058177.046685631
131183,84825,14,2,,
131672,84829,14,-1,-7364869.903649259,2058177.046685631
131196,84839,14,2,,
131166,84842,14,-1,-7364956.510213093,2058923.2895036677
131199,84845,14,-1,-7364869.903649259,2058177.046685631
131220,84855,14,2,-7364744.780541607,2058219.5779277284
136494,84862,14,1,-7334210.066855996,2070485.63070331
131162,84869,14,-1,-7365608.7311096545,2054234.6790597478
363865,84870,14,3,-7363143.449666546,2060073.6980358416
131195,84873,14,1,,
131193,84874,14,2,,
173489,84877,14,1,-7441260.455177343,2094400.5273707784
171776,84878,14,2,-7442367.750152265,2094895.3877078618
363868,84882,14,3,-7363314.213765421,2059984.175227155
363870,84883,14,3,-7363290.7253528675,2059981.3629986835
185655,84885,14,2,-7391454.333884582,2048610.4652704564
139132,84890,14,2,-7333762.5625030035,2083434.79034133
139110,84891,14,2,-7336013.442606842,2081956.7196187426
185752,84903,14,2,-7383432.206100053,2046484.6566208566
185709,84904,14,6,-7390272.7888092995,2046766.9843217027
133936,84908,14,1,,
131163,84912,14,-1,-7365608.7311096545,2054234.6790597478
363867,84913,14,3,-7363231.169425291,2060046.3958811408
363869,84914,14,3,-7363234.95428798,2059959.0995369328
185671,84915,14,2,-7383073.646020209,2055241.667327998
172307,84918,14,2,-7442115.388866634,2090678.9008042617
174797,84919,14,1,-7334596.3454890475,2074240.8309648698
185713,84923,14,6,-7391656.490079864,2043892.364589329
185715,84924,14,-1,-7391015.289812895,2043899.3896468785
185685,84925,14,2,-7390833.950362388,2054685.4513067058
185659,84931,14,-1,-7393778.239574381,2053234.2999954356
185756,84932,14,2,-7389548.878160675,2045422.712942339
185861,84935,14,2,-7387407.870394244,2042427.6924486293
185855,84936,14,1,-7387556.036636495,2043022.2126688175
172820,84937,14,1,-7440192.6786216535,2079857.5755599907
131398,84942,14,3,-7351049.3662282955,2064371.2545553795
131400,84943,14,7,-7351174.044057978,2065356.942025824
185662,84948,14,6,-7392331.976749995,2051040.6654060846
185890,84949,14,-1,-7386826.337374339,2046988.657026171
185830,84950,14,2,-7390149.22417452,2055737.6823134215
136397,84952,14,7,-7350233.728319249,2066299.0740850894
136534,84959,14,2,-7334284.650914822,2077212.372768444
136547,84960,14,2,-7334373.706507458,2084175.039384584
133935,84962,14,1,-7333488.271277692,2073159.9731298767
139152,84963,14,2,-7332392.219571337,2068918.0035129238
139129,84964,14,3,-7334813.641135077,2077183.0539310337
185757,84965,14,-1,-7382429.66276597,2044506.5978501982
185705,84966,14,-1,-7389377.780103322,2046583.1371412019
185860,84967,14,2,-7387491.471331833,2042571.813438634
185811,84971,14,2,-7384683.7711350415,2055303.8735553788
185812,84972,14,2,-7384707.816145054,2055305.630796181
185844,84973,14,-1,-7386826.337374339,2046988.657026171
136500,84974,14,2,-7334610.705703362,2069735.4476368316
139148,84975,14,2,-7334885.776165106,2077219.4092957338
175296,84976,14,2,-7334106.539729553,2083635.3939809913
175098,84977,14,2,-7334407.102354696,2084057.7239406824
139038,84978,14,3,-7351922.1110361125,2068120.8717892813
185729,84981,14,-1,-7386826.337374339,2046988.657026171
185649,84982,14,3,-7392433.500125602,2047961.445550347
185981,84984,14,-1,-7386826.337374339,2046988.657026171
185905,84985,14,-1,-7386826.337374339,2046988.657026171
185906,84986,14,-1,-7386826.337374339,2046988.657026171
175007,84989,14,2,-7336726.443945377,2081693.2589902503
136559,84993,14,2,-7332731.744018259,2072055.2546921924
174887,84994,14,1,-7336618.352719817,2072082.5729442267
185832,84999,14,2,-7387871.627392889,2057493.8641181139
185941,85000,14,1,-7385380.297188934,2047203.7743455314
185691,85001,14,2,-7387597.224848086,2043196.5445191883
139145,85006,14,2,-7335245.226800881,2083428.5728334242
175328,85007,14,-1,-7332656.046764522,2067582.8255233143
133941,85008,14,2,-7334676.495522418,2076772.594659256
185799,85009,14,-1,-7386826.337374339,2046988.657026171
185664,85010,14,-1,-7393778.239574381,2053234.2999954356
185814,85011,14,-1,-7386826.337374339,2046988.657026171
185644,85012,14,2,-7382992.605430915,2043835.5787954696
347935,85020,14,-1,-7332656.046764522,2067582.8255233143
185818,85027,14,-1,-7386826.337374339,2046988.657026171
185947,85028,14,2,-7388422.658872316,2046735.3671735765
139137,85032,14,2,-7337596.851043888,2069057.5047749488
174866,85033,14,3,-7331694.246364066,2069508.8389407631
141589,85035,14,3,-7355792.689730993,2065498.7630516496
175327,85036,14,3,-7362939.401039924,2067605.0973088373
141438,85037,14,3,-7354211.952961726,2055744.7114265065
185720,85040,14,-1,-7386826.337374339,2046988.657026171
354212,85041,14,3,-7353495.612038477,2056264.0524093981
141738,85044,14,1,-7349051.404007532,2089729.2978313495
141736,85048,14,1,-7341449.395981261,2081848.9185283189
131580,85050,14,3,-7343681.129132688,2084462.699735419
141754,85051,14,2,-7344192.085595422,2087859.0909821314
185969,85056,14,-1,-7386826.337374339,2046988.657026171
185884,85059,14,-1,-7386826.337374339,2046988.657026171
136659,85060,14,-1,-7341608.026255639,2083712.5858534495
133976,85062,14,-1,-7342629.27126418,2085449.5982665382
185638,85064,14,-1,-7386826.337374339,2046988.657026171
185745,85065,14,-1,-7386826.337374339,2046988.657026171
185740,85066,14,-1,-7386826.337374339,2046988.657026171
136648,85067,14,2,-7340271.079171214,2072840.9329046267
134003,85070,14,2,-7344511.015936551,2080680.5041689829
185958,85077,14,-1,-7386826.337374339,2046988.657026171
185765,85078,14,-1,-7386826.337374339,2046988.657026171
185894,85079,14,-1,-7386826.337374339,2046988.657026171
141436,85083,14,3,-7350737.337695598,2055051.5353413958
185746,85086,14,-1,-7387402.638378178,2046658.315216281
185744,85087,14,-1,-7386826.337374339,2046988.657026171
136614,85088,14,-1,-7342161.284124883,2081468.5107830004
131527,85091,14,2,-7342980.929535594,2083115.7056124024
185738,85092,14,-1,-7386826.337374339,2046988.657026171
185892,85093,14,-1,-7386826.337374339,2046988.657026171
185896,85094,14,-1,-7386826.337374339,2046988.657026171
185780,85098,14,-1,-7386826.337374339,2046988.657026171
185936,85099,14,-1,-7386826.337374339,2046988.657026171
185945,85100,14,-1,-7386826.337374339,2046988.657026171
133959,85105,14,2,-7339032.42719716,2080728.0089084916
185863,85110,14,-1,-7386826.337374339,2046988.657026171
185726,85111,14,-1,-7386826.337374339,2046988.657026171
185926,85114,14,-1,-7386826.337374339,2046988.657026171
185927,85115,14,-1,-7386826.337374339,2046988.657026171
185769,85116,14,7,-7387623.384928419,2045721.3022150355
185973,85117,14,-1,-7386826.337374339,2046988.657026171
141817,85124,14,-1,-7342629.27126418,2085449.5982665382
136645,85125,14,2,-7344990.580302887,2082612.4535351943
185960,85126,14,-1,-7386826.337374339,2046988.657026171
185777,85128,14,-1,-7386826.337374339,2046988.657026171
185828,85129,14,2,-7384578.796855229,2055149.5884005125
185950,85130,14,2,-7390103.583183296,2042102.2238991465
131369,85135,14,3,-7351307.627446935,2059587.6548329939
185933,85136,14,-1,-7386826.337374339,2046988.657026171
185825,85137,14,2,-7391557.415733056,2056187.5504173366
185928,85140,14,-1,-7386826.337374339,2046988.657026171
141751,85142,14,3,-7338101.90757362,2080326.3921053375
131529,85143,14,1,-7342452.495912797,2082911.7051839093
185775,85145,14,2,-7387005.005157067,2047587.173561978
185795,85147,14,2,-7388680.920090957,2049143.0936734441
136658,85148,14,2,-7346636.661613247,2086080.3375633098
141814,85149,14,2,-7344541.740116008,2080651.2976067073
133965,85150,14,1,-7343127.8712634435,2082940.2111580225
169686,85152,14,-1,-7370886.499487651,2064749.8185410886
176711,85153,14,3,-7370432.538604197,2069143.3161104177
185824,85155,14,2,-7391547.396978885,2056184.0357844462
